altitude(meters),wind_vector(ENU)
0,30.63,0.0,-0.0
1,30.62,0.0,-0.0
2,30.62,0.0,-0.0
3,30.62,0.0,-0.0
4,30.61,0.0,-0.0
5,30.61,0.0,-0.0
6,30.61,0.0,-0.0
7,30.6,0.0,-0.0
8,30.6,0.0,-0.0
9,30.6,0.0,-0.0
10,30.6,0.0,-0.0
11,30.59,0.0,-0.0
12,30.59,0.0,-0.0
13,30.59,0.0,-0.0
14,30.58,0.0,-0.0
15,30.58,0.0,-0.0
16,30.58,0.0,-0.0
17,30.58,0.0,-0.0
18,30.57,0.0,-0.0
19,30.57,0.0,-0.0
20,30.57,0.0,-0.0
21,30.56,0.0,-0.0
22,30.56,0.0,-0.0
23,30.56,0.0,-0.0
24,30.55,0.0,-0.0
25,30.55,0.0,-0.0
26,30.55,0.0,-0.0
27,30.55,0.0,-0.0
28,30.54,0.0,-0.0
29,30.54,0.0,-0.0
30,30.54,0.0,-0.0
31,30.53,0.0,-0.0
32,30.53,0.0,-0.0
33,30.53,0.0,-0.0
34,30.53,0.0,-0.0
35,30.52,0.0,-0.0
36,30.52,0.0,-0.0
37,30.52,0.0,-0.0
38,30.51,0.0,-0.0
39,30.51,0.0,-0.0
40,30.51,0.0,-0.0
41,30.5,0.0,-0.0
42,30.5,0.0,-0.0
43,30.5,0.0,-0.0
44,30.5,0.0,-0.0
45,30.49,0.0,-0.0
46,30.49,0.0,-0.0
47,30.49,0.0,-0.0
48,30.48,0.0,-0.0
49,30.48,0.0,-0.0
50,30.48,0.0,-0.0
51,30.48,0.0,-0.0
52,30.47,0.0,-0.0
53,30.47,0.0,-0.0
54,30.47,0.0,-0.0
55,30.46,0.0,-0.0
56,30.46,0.0,-0.0
57,30.46,0.0,-0.0
58,30.45,0.0,-0.0
59,30.45,0.0,-0.0
60,30.45,0.0,-0.0
61,30.45,0.0,-0.0
62,30.44,0.0,-0.0
63,30.44,0.0,-0.0
64,30.44,0.0,-0.0
65,30.43,0.0,-0.0
66,30.43,0.0,-0.0
67,30.43,0.0,-0.0
68,30.43,0.0,-0.0
69,30.42,0.0,-0.0
70,30.42,0.0,-0.0
